Tanggal;RR;;
01-01-2024;33,2;;
02-01-2024;45,4;;
03-01-2024;36,5;;
04-01-2024;20,9;;
05-01-2024;36,1;;
06-01-2024;9,8;;
07-01-2024;31,2;;
08-01-2024;12,1;;
09-01-2024;15,2;;
10-01-2024;41,1;;
11-01-2024;40,8;;
12-01-2024;0;;
13-01-2024;22,2;;
14-01-2024;23;;
15-01-2024;0;;
16-01-2024;4;;
17-01-2024;21,7;;
18-01-2024;0;;
19-01-2024;0;;
20-01-2024;88,3;;
21-01-2024;0,7;;
22-01-2024;0;;
23-01-2024;0;;
24-01-2024;0;;
25-01-2024;3,7;;
26-01-2024;0,8;;
27-01-2024;0;;
28-01-2024;0;;
29-01-2024;0;;
30-01-2024;0;;
31-01-2024;0;;
01-02-2024;0;;
25-01-2024;3,7;;
26-01-2024;0,8;;
27-01-2024;0;;
28-01-2024;0;;
29-01-2024;0;;
30-01-2024;0;;
31-01-2024;0;;
01-02-2024;0;;
